mb_code16,ptal
10004454000,1 - Low
10004455000,2 - Low-Medium
10004456000,1 - Low
10004457000,2 - Low-Medium
10004458000,2 - Low-Medium
10004461000,3 - Medium
10004462000,1 - Low
10004480000,2 - Low-Medium
10004490000,1 - Low
10004500000,1 - Low
10004510000,1 - Low
10004520000,1 - Low
10004550000,2 - Low-Medium
10004570000,1 - Low
10004630000,1 - Low
10004670000,1 - Low
10004680000,1 - Low
10004690000,1 - Low
10004700000,1 - Low
10004710000,1 - Low
10004740000,1 - Low
10004790000,1 - Low
10004810000,1 - Low
10004830000,2 - Low-Medium
10004840000,1 - Low
10004851000,1 - Low
10004852000,1 - Low
10004860000,1 - Low
10004880000,1 - Low
10004900000,3 - Medium
10004910000,2 - Low-Medium
10004930000,3 - Medium
10004940000,2 - Low-Medium
10004950000,1 - Low
10004971000,1 - Low
10004972000,1 - Low
10004980000,2 - Low-Medium
10004990000,1 - Low
10005000000,1 - Low
10005010000,1 - Low
10005020000,3 - Medium
10005060000,1 - Low
10005070000,1 - Low
10005080000,1 - Low
10005120000,1 - Low
10005160000,1 - Low
10005180000,1 - Low
10005190000,1 - Low
10005200000,1 - Low
10005210000,1 - Low
10005240000,1 - Low
10005250000,1 - Low
10005270000,1 - Low
10005280000,1 - Low
10005290000,1 - Low
10005300000,1 - Low
10005310000,1 - Low
10005330000,1 - Low
10005340000,1 - Low
10005350000,1 - Low
10005360000,1 - Low
10005370000,1 - Low
10005380000,1 - Low
10005410000,1 - Low
10005440000,2 - Low-Medium
10005450000,1 - Low
10005460000,1 - Low
10005470000,2 - Low-Medium
10005490000,1 - Low
10005520000,2 - Low-Medium
10005530000,1 - Low
10005540000,1 - Low
10005550000,1 - Low
10005580000,1 - Low
10005600000,1 - Low
10005610000,1 - Low
10005620000,1 - Low
10005630000,2 - Low-Medium
10005650000,2 - Low-Medium
10005660000,2 - Low-Medium
10005680000,1 - Low
10005710000,1 - Low
10005760000,1 - Low
10005790000,2 - Low-Medium
10005800000,1 - Low
10005840000,1 - Low
10005850000,1 - Low
10005890000,2 - Low-Medium
10005900000,3 - Medium
10005910000,3 - Medium
10005930000,1 - Low
10005950000,1 - Low
10005960000,1 - Low
10005970000,1 - Low
10005980000,1 - Low
10006040000,1 - Low
10006050000,1 - Low
10006070000,1 - Low
10006080000,1 - Low
10006100000,3 - Medium
10006110000,2 - Low-Medium
10006140000,1 - Low
10006170000,1 - Low
10006190000,1 - Low
10006200000,1 - Low
10006220000,4 - Medium-High
10006230000,1 - Low
10006240000,1 - Low
10006250000,1 - Low
10006260000,1 - Low
10006290000,1 - Low
10006320000,1 - Low
10006330000,1 - Low
10006350000,1 - Low
10006360000,1 - Low
10006370000,2 - Low-Medium
10006380000,1 - Low
10006390000,2 - Low-Medium
10006400000,1 - Low
10006490000,1 - Low
10006570000,1 - Low
10006590000,2 - Low-Medium
10006600000,1 - Low
10006620000,1 - Low
10006650000,1 - Low
10006690000,1 - Low
10006710000,1 - Low
10006760000,1 - Low
10006780000,1 - Low
10006790000,1 - Low
10006820000,1 - Low
10006880000,1 - Low
10006900000,1 - Low
10006910000,1 - Low
10006920000,1 - Low
10006940000,1 - Low
10007090000,1 - Low
10007190000,1 - Low
10007240000,1 - Low
10007410000,1 - Low
10007430000,1 - Low
10007440000,1 - Low
10007450000,1 - Low
10007460000,1 - Low
10007470000,1 - Low
10007480000,1 - Low
10007501000,1 - Low
10007510000,1 - Low
10007520000,1 - Low
10007530000,1 - Low
10007550000,1 - Low
10007590000,1 - Low
10007600000,1 - Low
10007610000,1 - Low
10007620000,1 - Low
10007630000,1 - Low
10007650000,1 - Low
10007720000,1 - Low
10007730000,1 - Low
10007750000,1 - Low
10007790000,1 - Low
10007830000,1 - Low
10007940000,1 - Low
10007970000,1 - Low
10007990000,1 - Low
10008000000,1 - Low
10008010000,1 - Low
10008050000,1 - Low
10008060000,1 - Low
10008080000,1 - Low
10008120000,1 - Low
10008393000,1 - Low
10008400000,2 - Low-Medium
10008410000,1 - Low
10008420000,1 - Low
10008462000,1 - Low
10008490000,1 - Low
10008510000,1 - Low
10008520000,1 - Low
10008532000,1 - Low
10008610000,1 - Low
10008630000,1 - Low
10008641000,1 - Low
10008642000,1 - Low
10008650000,1 - Low
10008660000,1 - Low
10008670000,1 - Low
10008680000,1 - Low
10008690000,1 - Low
10008700000,1 - Low
10008710000,1 - Low
10008740000,1 - Low
10008751000,1 - Low
10008760000,1 - Low
10008860000,1 - Low
10008870000,1 - Low
10008880000,1 - Low
10008890000,1 - Low
10008900000,1 - Low
10008910000,1 - Low
10008920000,1 - Low
10008930000,1 - Low
10009050000,1 - Low
10009070000,1 - Low
10009090000,1 - Low
10009150000,1 - Low
10009160000,1 - Low
10009171000,1 - Low
10009172000,1 - Low
10009173000,1 - Low
10009174000,1 - Low
10009181000,1 - Low
10009182000,1 - Low
10009183000,1 - Low
10009184000,1 - Low
10009191000,1 - Low
10009192000,1 - Low
10009193000,1 - Low
10009194000,1 - Low
10009201000,1 - Low
10009211000,1 - Low
10009212000,1 - Low
10009213000,1 - Low
10009214000,1 - Low
10009222000,1 - Low
10009223000,1 - Low
10009280000,1 - Low
10009290000,1 - Low
10009300000,1 - Low
10009310000,1 - Low
10009330000,1 - Low
10009340000,1 - Low
10009430000,1 - Low
10009450000,1 - Low
10009600000,1 - Low
10009640000,1 - Low
10009650000,1 - Low
10009710000,1 - Low
10009720000,1 - Low
10009731000,1 - Low
10009860000,1 - Low
10009880000,1 - Low
10009900000,1 - Low
10009960000,1 - Low
10010020000,1 - Low
10010030000,1 - Low
10010040000,1 - Low
10010051000,1 - Low
10010052000,1 - Low
10010060000,1 - Low
10012100000,5 - High
10010070000,1 - Low
10010080000,1 - Low
10010090000,1 - Low
10010100000,1 - Low
10010580000,1 - Low
10010742000,1 - Low
10010800000,1 - Low
10010830000,1 - Low
10011670000,6 - Very High
10011680000,6 - Very High
10011690000,6 - Very High
10011700000,6 - Very High
10011710000,6 - Very High
10011720000,5 - High
10011730000,2 - Low-Medium
10011740000,4 - Medium-High
10011750000,3 - Medium
10011760000,6 - Very High
10011770000,6 - Very High
10011780000,6 - Very High
10011790000,3 - Medium
10011800000,4 - Medium-High
10011820000,6 - Very High
10011830000,5 - High
10011840000,3 - Medium
10011860000,6 - Very High
10011870000,6 - Very High
10011880000,4 - Medium-High
10011890000,3 - Medium
10011900000,4 - Medium-High
10011910000,6 - Very High
10011920000,6 - Very High
10011930000,6 - Very High
10011940000,4 - Medium-High
10011950000,5 - High
10011960000,6 - Very High
10011970000,5 - High
10011980000,4 - Medium-High
10011990000,4 - Medium-High
10012000000,5 - High
10012010000,5 - High
10012020000,6 - Very High
10012030000,6 - Very High
10012040000,6 - Very High
10012050000,6 - Very High
10012060000,6 - Very High
10012070000,6 - Very High
10012080000,6 - Very High
10012090000,4 - Medium-High
10012110000,2 - Low-Medium
10012120000,2 - Low-Medium
10012130000,6 - Very High
10012140000,6 - Very High
10012150000,6 - Very High
10012160000,6 - Very High
10012170000,6 - Very High
10012180000,6 - Very High
10012190000,6 - Very High
10012200000,5 - High
10012230000,5 - High
10012240000,3 - Medium
10012250000,6 - Very High
10012260000,5 - High
10012270000,6 - Very High
10012280000,6 - Very High
10012290000,4 - Medium-High
10012300000,6 - Very High
10012310000,4 - Medium-High
10012320000,6 - Very High
10012330000,5 - High
10012650000,4 - Medium-High
10012340000,6 - Very High
10012360000,5 - High
10012370000,6 - Very High
10012380000,6 - Very High
10012390000,6 - Very High
10012400000,3 - Medium
10012410000,3 - Medium
10012420000,3 - Medium
10012430000,6 - Very High
10012440000,4 - Medium-High
10012450000,6 - Very High
10012470000,3 - Medium
10012480000,5 - High
10012490000,4 - Medium-High
10012500000,2 - Low-Medium
10012511000,2 - Low-Medium
10012520000,6 - Very High
10012530000,6 - Very High
10012540000,4 - Medium-High
10012550000,3 - Medium
10012640000,5 - High
10012690000,6 - Very High
10012700000,6 - Very High
10012730000,4 - Medium-High
10012740000,6 - Very High
10012760000,6 - Very High
10012770000,6 - Very High
10012780000,6 - Very High
10012790000,6 - Very High
10012800000,6 - Very High
10012820000,6 - Very High
10012840000,6 - Very High
10012850000,6 - Very High
10012870000,6 - Very High
10012890000,6 - Very High
10012930000,6 - Very High
10012940000,6 - Very High
10012950000,6 - Very High
10012960000,6 - Very High
10012970000,6 - Very High
10012980000,5 - High
10012990000,6 - Very High
10013000000,6 - Very High
10013010000,6 - Very High
10013020000,4 - Medium-High
10013030000,3 - Medium
10013050000,5 - High
10013060000,4 - Medium-High
10013090000,6 - Very High
10013130000,2 - Low-Medium
10013140000,4 - Medium-High
10013150000,4 - Medium-High
10013160000,5 - High
10013170000,5 - High
10013180000,6 - Very High
10013190000,3 - Medium
10013230000,6 - Very High
10013240000,3 - Medium
10013250000,6 - Very High
10013261000,6 - Very High
10013270000,6 - Very High
10013280000,6 - Very High
10013290000,5 - High
10013300000,4 - Medium-High
10013310000,4 - Medium-High
10013340000,4 - Medium-High
10013350000,3 - Medium
10013360000,5 - High
10013370000,6 - Very High
10013380000,6 - Very High
10013390000,6 - Very High
10013401000,4 - Medium-High
10013402000,4 - Medium-High
10013410000,4 - Medium-High
10013421000,6 - Very High
10013422000,6 - Very High
10013423000,6 - Very High
10013430000,6 - Very High
10013440000,6 - Very High
10013460000,6 - Very High
10013500000,3 - Medium
10013510000,6 - Very High
10013520000,6 - Very High
10013530000,2 - Low-Medium
10013540000,6 - Very High
10013550000,3 - Medium
10013580000,6 - Very High
10013590000,6 - Very High
10013610000,6 - Very High
10013620000,6 - Very High
10013631000,6 - Very High
10013640000,6 - Very High
10013650000,6 - Very High
10013660000,5 - High
10013681000,5 - High
10013682000,6 - Very High
10013690000,3 - Medium
10013700000,2 - Low-Medium
10013710000,2 - Low-Medium
10013740000,2 - Low-Medium
10013750000,3 - Medium
10013760000,3 - Medium
10013770000,3 - Medium
10013780000,3 - Medium
10013790000,4 - Medium-High
10013810000,3 - Medium
10013820000,3 - Medium
10013830000,3 - Medium
10013840000,5 - High
10013850000,3 - Medium
10013860000,3 - Medium
10013870000,3 - Medium
10013880000,4 - Medium-High
10013890000,3 - Medium
10013920000,4 - Medium-High
10013930000,6 - Very High
10013940000,6 - Very High
10013950000,6 - Very High
10013960000,6 - Very High
10013990000,5 - High
10014000000,5 - High
10014010000,6 - Very High
10014020000,5 - High
10014030000,5 - High
10014040000,5 - High
10014050000,4 - Medium-High
10014060000,3 - Medium
10014100000,6 - Very High
10014111000,6 - Very High
10014120000,6 - Very High
10014130000,6 - Very High
10014140000,6 - Very High
10014150000,6 - Very High
10014180000,6 - Very High
10014250000,6 - Very High
10014260000,6 - Very High
10014270000,6 - Very High
10014280000,6 - Very High
10014290000,5 - High
10014300000,6 - Very High
10014330000,6 - Very High
10014350000,6 - Very High
10014360000,4 - Medium-High
10014380000,5 - High
10014390000,5 - High
10014400000,4 - Medium-High
10014410000,5 - High
10014420000,4 - Medium-High
10014450000,5 - High
10014460000,5 - High
10014470000,4 - Medium-High
10014480000,5 - High
10014490000,6 - Very High
10014500000,5 - High
10014510000,5 - High
10014520000,5 - High
10014530000,4 - Medium-High
10014540000,4 - Medium-High
10014550000,4 - Medium-High
10014560000,4 - Medium-High
10014570000,4 - Medium-High
10014580000,4 - Medium-High
10014590000,5 - High
10014600000,6 - Very High
10014610000,6 - Very High
10014640000,4 - Medium-High
10014650000,3 - Medium
10014660000,4 - Medium-High
10014670000,4 - Medium-High
10014680000,4 - Medium-High
10014730000,4 - Medium-High
10014770000,6 - Very High
10014790000,5 - High
10014800000,4 - Medium-High
10014810000,4 - Medium-High
10014840000,3 - Medium
10014850000,2 - Low-Medium
10014880000,3 - Medium
10014890000,3 - Medium
10014900000,2 - Low-Medium
10014910000,3 - Medium
10014920000,3 - Medium
10014930000,3 - Medium
10014940000,4 - Medium-High
10014950000,4 - Medium-High
10014960000,4 - Medium-High
10014970000,4 - Medium-High
10014980000,6 - Very High
10014990000,5 - High
10015000000,6 - Very High
10015010000,6 - Very High
10015020000,6 - Very High
10015030000,4 - Medium-High
10015040000,4 - Medium-High
10015050000,2 - Low-Medium
10015060000,2 - Low-Medium
10015070000,2 - Low-Medium
10015080000,6 - Very High
10015090000,6 - Very High
10015100000,6 - Very High
10015110000,6 - Very High
10015120000,6 - Very High
10015130000,6 - Very High
10015140000,6 - Very High
10015150000,6 - Very High
10015160000,6 - Very High
10015170000,6 - Very High
10015181000,5 - High
10015182000,6 - Very High
10015190000,6 - Very High
10015200000,5 - High
10015210000,6 - Very High
10015220000,6 - Very High
10015250000,4 - Medium-High
10015260000,6 - Very High
10015280000,5 - High
10015290000,5 - High
10015300000,6 - Very High
10015310000,6 - Very High
10015320000,6 - Very High
10015330000,6 - Very High
10015340000,6 - Very High
10015350000,6 - Very High
10015360000,6 - Very High
10015370000,5 - High
10015380000,4 - Medium-High
10015390000,6 - Very High
10015400000,6 - Very High
10015410000,6 - Very High
10015420000,6 - Very High
10015431000,6 - Very High
10015432000,6 - Very High
10015460000,6 - Very High
10015500000,6 - Very High
10015550000,6 - Very High
10015560000,6 - Very High
10015570000,5 - High
10015580000,5 - High
10015590000,4 - Medium-High
10015600000,6 - Very High
10015610000,5 - High
10015620000,6 - Very High
10015630000,6 - Very High
10015640000,6 - Very High
10015650000,6 - Very High
10015660000,6 - Very High
10015670000,6 - Very High
10015700000,4 - Medium-High
10015722000,3 - Medium
10015732000,4 - Medium-High
10015740000,5 - High
10015751000,5 - High
10015752000,4 - Medium-High
10015760000,6 - Very High
10015770000,6 - Very High
10015781000,6 - Very High
10015782000,6 - Very High
10015811000,6 - Very High
10019854000,2 - Low-Medium
10015830000,5 - High
10015840000,6 - Very High
10015850000,6 - Very High
10015860000,5 - High
10015870000,5 - High
10015890000,6 - Very High
10015900000,6 - Very High
10015910000,4 - Medium-High
10015920000,5 - High
10015930000,4 - Medium-High
10015941000,3 - Medium
10015942000,3 - Medium
10015961000,4 - Medium-High
10015962000,4 - Medium-High
10015970000,3 - Medium
10015992000,5 - High
10016001000,6 - Very High
10016002000,6 - Very High
10016012000,6 - Very High
10016020000,4 - Medium-High
10016030000,5 - High
10016040000,4 - Medium-High
10016050000,6 - Very High
10016070000,5 - High
10016080000,5 - High
10016090000,6 - Very High
10016100000,6 - Very High
10016110000,6 - Very High
10016140000,6 - Very High
10016151000,6 - Very High
10016160000,6 - Very High
10016180000,6 - Very High
10016200000,6 - Very High
10016210000,6 - Very High
10016220000,6 - Very High
10016230000,6 - Very High
10016240000,6 - Very High
10016250000,6 - Very High
10016260000,6 - Very High
10016280000,6 - Very High
10016290000,6 - Very High
10016300000,6 - Very High
10016330000,6 - Very High
10016342000,6 - Very High
10016350000,6 - Very High
10016360000,6 - Very High
10016370000,6 - Very High
10016390000,6 - Very High
10016400000,6 - Very High
10016411000,6 - Very High
10016414000,6 - Very High
10016415000,6 - Very High
10016420000,6 - Very High
10016430000,6 - Very High
10016440000,6 - Very High
10016450000,4 - Medium-High
10016460000,4 - Medium-High
10016470000,5 - High
10016482000,6 - Very High
10016490000,5 - High
10016510000,3 - Medium
10016520000,3 - Medium
10016530000,5 - High
10016540000,3 - Medium
10016581000,6 - Very High
10016582000,6 - Very High
10016590000,6 - Very High
10016600000,6 - Very High
10016611000,6 - Very High
10016640000,5 - High
10016650000,5 - High
10016661000,4 - Medium-High
10016662000,4 - Medium-High
10016670000,4 - Medium-High
10016680000,4 - Medium-High
10016690000,5 - High
10016700000,4 - Medium-High
10016710000,6 - Very High
10016720000,6 - Very High
10016740000,5 - High
10016760000,6 - Very High
10016770000,6 - Very High
10016782000,6 - Very High
10016801000,6 - Very High
10016802000,6 - Very High
10016811000,6 - Very High
10016812000,6 - Very High
10016820000,6 - Very High
10016860000,6 - Very High
10016870000,6 - Very High
10016880000,6 - Very High
10016891000,6 - Very High
10016900000,6 - Very High
10016911000,6 - Very High
10016920000,6 - Very High
10016931000,6 - Very High
10016932000,6 - Very High
10016952000,3 - Medium
10016960000,4 - Medium-High
10016970000,4 - Medium-High
10016980000,5 - High
10016990000,6 - Very High
10017000000,6 - Very High
10017010000,6 - Very High
10017020000,6 - Very High
10017030000,3 - Medium
10017040000,4 - Medium-High
10017050000,3 - Medium
10017060000,6 - Very High
10017070000,5 - High
10017090000,6 - Very High
10017100000,5 - High
10017110000,6 - Very High
10017120000,6 - Very High
10017130000,6 - Very High
10017652000,3 - Medium
10017140000,4 - Medium-High
10017150000,4 - Medium-High
10017160000,3 - Medium
10017171000,3 - Medium
10017172000,6 - Very High
10017173000,5 - High
10017174000,5 - High
10017175000,3 - Medium
10017176000,3 - Medium
10017177000,4 - Medium-High
10017180000,3 - Medium
10017200000,2 - Low-Medium
10017213000,1 - Low
10017220000,4 - Medium-High
10017230000,4 - Medium-High
10017480000,4 - Medium-High
10017240000,3 - Medium
10017250000,4 - Medium-High
10017262000,6 - Very High
10017271000,5 - High
10017272000,6 - Very High
10017281000,2 - Low-Medium
10017282000,3 - Medium
10017291000,2 - Low-Medium
10017292000,2 - Low-Medium
10017300000,1 - Low
10017310000,4 - Medium-High
10017330000,3 - Medium
10017340000,2 - Low-Medium
10017370000,3 - Medium
10017380000,2 - Low-Medium
10017390000,4 - Medium-High
10017400000,3 - Medium
10017412000,2 - Low-Medium
10017420000,2 - Low-Medium
10017430000,4 - Medium-High
10017440000,2 - Low-Medium
10017450000,6 - Very High
10017460000,2 - Low-Medium
10017470000,3 - Medium
10017490000,1 - Low
10017502000,6 - Very High
10017510000,4 - Medium-High
10017520000,4 - Medium-High
10017530000,3 - Medium
10017550000,5 - High
10017560000,3 - Medium
10017570000,1 - Low
10017580000,1 - Low
10017600000,2 - Low-Medium
10017611100,3 - Medium
10017611200,3 - Medium
10017611300,3 - Medium
10017611400,3 - Medium
10017611700,4 - Medium-High
10017611800,3 - Medium
10017612200,5 - High
10017620000,2 - Low-Medium
10017630000,1 - Low
10017651000,1 - Low
10017653000,3 - Medium
10017654000,3 - Medium
10017655000,2 - Low-Medium
10017656000,3 - Medium
10017658000,3 - Medium
10017680000,1 - Low
10017712000,3 - Medium
10017713000,4 - Medium-High
10017720000,5 - High
10017730000,5 - High
10017740000,5 - High
10017750000,6 - Very High
10017760000,3 - Medium
10017770000,4 - Medium-High
10017780000,6 - Very High
10017790000,2 - Low-Medium
10017801000,1 - Low
10017811000,4 - Medium-High
10017812000,5 - High
10017813000,6 - Very High
10017830000,5 - High
10017841100,2 - Low-Medium
10017841200,3 - Medium
10017842100,2 - Low-Medium
10017842200,2 - Low-Medium
10017843100,2 - Low-Medium
10017843200,2 - Low-Medium
10017845000,4 - Medium-High
10017846000,4 - Medium-High
10017848000,3 - Medium
10017850000,4 - Medium-High
10017861000,4 - Medium-High
10017862000,3 - Medium
10018230000,3 - Medium
10017870000,2 - Low-Medium
10017891000,5 - High
10017892000,5 - High
10017893000,5 - High
10017894000,3 - Medium
10017895000,2 - Low-Medium
10017900000,4 - Medium-High
10017920000,1 - Low
10017930000,3 - Medium
10017940000,3 - Medium
10017960000,3 - Medium
10017971000,6 - Very High
10017972000,6 - Very High
10017980000,4 - Medium-High
10017990000,6 - Very High
10018011000,6 - Very High
10018013000,6 - Very High
10018014000,6 - Very High
10018015000,6 - Very High
10018020000,3 - Medium
10018031000,1 - Low
10018032000,2 - Low-Medium
10018033000,4 - Medium-High
10018041000,2 - Low-Medium
10018042000,5 - High
10018043000,2 - Low-Medium
10018051000,6 - Very High
10018052000,6 - Very High
10018053000,6 - Very High
10018072000,3 - Medium
10018080000,4 - Medium-High
10018100000,3 - Medium
10018110000,4 - Medium-High
10018120000,4 - Medium-High
10018131000,6 - Very High
10018132000,6 - Very High
10018140000,5 - High
10018150000,4 - Medium-High
10018160000,4 - Medium-High
10018170000,6 - Very High
10018180000,4 - Medium-High
10018190000,6 - Very High
10018201000,6 - Very High
10018202000,4 - Medium-High
10018220000,2 - Low-Medium
10018240000,2 - Low-Medium
10018251000,3 - Medium
10018252000,4 - Medium-High
10018253000,3 - Medium
10018261000,6 - Very High
10018262000,6 - Very High
10018272000,5 - High
10018273000,6 - Very High
10018280000,4 - Medium-High
10018290000,4 - Medium-High
10018300000,6 - Very High
10018310000,2 - Low-Medium
10018320000,6 - Very High
10018330000,4 - Medium-High
10018340000,2 - Low-Medium
10018350000,3 - Medium
10018360000,4 - Medium-High
10018370000,4 - Medium-High
10018380000,6 - Very High
10018390000,6 - Very High
10018410000,1 - Low
10018420000,5 - High
10018430000,4 - Medium-High
10018450000,3 - Medium
10018460000,1 - Low
10018470000,2 - Low-Medium
10018480000,2 - Low-Medium
10018491000,5 - High
10018492000,3 - Medium
10018493000,6 - Very High
10018501000,3 - Medium
10018502000,4 - Medium-High
10018503000,4 - Medium-High
10018504000,5 - High
10018510000,3 - Medium
10018520000,5 - High
10018531000,3 - Medium
10018532000,2 - Low-Medium
10018533000,2 - Low-Medium
10018540000,4 - Medium-High
10018560000,5 - High
10018570000,4 - Medium-High
10018580000,6 - Very High
10018591000,6 - Very High
10018592000,6 - Very High
10018601000,3 - Medium
10018611000,4 - Medium-High
10018612000,5 - High
10018620000,2 - Low-Medium
10018630000,5 - High
10018640000,4 - Medium-High
10018650000,6 - Very High
10018660000,3 - Medium
10018670000,6 - Very High
10018680000,4 - Medium-High
10018690000,3 - Medium
10018700000,3 - Medium
10018710000,3 - Medium
10018720000,3 - Medium
10018730000,5 - High
10018740000,6 - Very High
10018750000,4 - Medium-High
10018760000,5 - High
10018770000,3 - Medium
10018781000,2 - Low-Medium
10018782000,4 - Medium-High
10018790000,3 - Medium
10018800000,2 - Low-Medium
10018810000,4 - Medium-High
10018820000,2 - Low-Medium
10018830000,3 - Medium
10018840000,4 - Medium-High
10018850000,4 - Medium-High
10018860000,3 - Medium
10018870000,4 - Medium-High
10018880000,4 - Medium-High
10018890000,1 - Low
10018900000,2 - Low-Medium
10018910000,1 - Low
10018920000,3 - Medium
10018932000,5 - High
